rx:-1.00323e+031, ry:-7.25425e+030, vx:-1.00323e+020, vy:-7.25425e+019, mass:1.63092e+050
rx:1.91245e+031, ry:5.17901e+031, vx:1.91245e+020, vy:5.17901e+020, mass:5.94181e+049
rx:3.42952e+029, ry:-7.4529e+030, vx:3.42952e+018, vy:-7.4529e+019, mass:6.42498e+049
rx:5.54037e+030, ry:-1.12804e+031, vx:5.54037e+019, vy:-1.12804e+020, mass:1.90752e+050
rx:-3.86286e+032, ry:-2.48645e+032, vx:-3.86286e+021, vy:-2.48645e+021, mass:1.87754e+050
rx:1.1255e+031, ry:-1.43291e+030, vx:1.1255e+020, vy:-1.43291e+019, mass:1.04335e+050
rx:-6.13166e+030, ry:3.18971e+031, vx:-6.13166e+019, vy:3.18971e+020, mass:1.74157e+050
rx:-8.58301e+029, ry:2.06095e+030, vx:-8.58301e+018, vy:2.06095e+019, mass:1.00451e+050
rx:-2.86318e+031, ry:-3.93548e+030, vx:-2.86318e+020, vy:-3.93548e+019, mass:1.09622e+050
rx:8.92396e+030, ry:-1.18133e+031, vx:8.92396e+019, vy:-1.18133e+020, mass:7.54062e+049
rx:1.66513e+030, ry:6.46248e+030, vx:1.66513e+019, vy:6.46248e+019, mass:7.60496e+049
rx:3.9958e+031, ry:1.25965e+031, vx:3.9958e+020, vy:1.25965e+020, mass:7.8599e+049
rx:-1.67077e+031, ry:-9.54386e+028, vx:-1.67077e+020, vy:-9.54386e+017, mass:1.23923e+050
rx:-1.31066e+031, ry:-1.85393e+030, vx:-1.31066e+020, vy:-1.85393e+019, mass:9.88299e+049
rx:7.46921e+030, ry:-1.33684e+030, vx:7.46921e+019, vy:-1.33684e+019, mass:7.10238e+049
rx:4.93536e+030, ry:3.18373e+030, vx:4.93536e+019, vy:3.18373e+019, mass:7.4435e+049
rx:1.20694e+030, ry:-2.36694e+030, vx:1.20694e+019, vy:-2.36694e+019, mass:1.21719e+050
rx:1.84795e+031, ry:-8.64806e+030, vx:1.84795e+020, vy:-8.64806e+019, mass:1.27134e+050
rx:2.57478e+031, ry:-9.52703e+031, vx:2.57478e+020, vy:-9.52703e+020, mass:1.18715e+050
rx:2.1679e+031, ry:-2.58351e+031, vx:2.1679e+020, vy:-2.58351e+020, mass:2.51536e+049
